Interaction ID,Customer ID,Date of Interaction,Interaction Type,Purpose of Interaction,Outcome of Interaction
1,284,04-01-2018,Email,Inquiry,Resolved
2,115,11-01-2018,Call,Complaint,Escalated
3,267,13-01-2018,Chat,Feedback,Resolved
4,166,07-02-2018,Email,Inquiry,Resolved
5,136,08-02-2018,Call,Complaint,Pending
6,262,09-02-2018,Chat,Feedback,Resolved
7,190,11-02-2018,Email,Inquiry,Resolved
8,277,11-03-2018,Call,Complaint,Resolved
9,36,14-03-2018,Chat,Feedback,Resolved
10,68,03-04-2018,Email,Inquiry,Pending
11,202,07-04-2018,Call,Complaint,Resolved
12,40,09-04-2018,Chat,Feedback,Resolved
13,40,09-04-2018,Email,Inquiry,Resolved
14,40,09-04-2018,Call,Complaint,Resolved
15,117,10-04-2018,Chat,Feedback,Pending
16,173,07-05-2018,Email,Inquiry,Resolved
17,92,11-05-2018,Call,Complaint,Resolved
18,92,11-05-2018,Chat,Feedback,Resolved
19,159,08-06-2018,Email,Inquiry,Resolved
20,216,05-07-2018,Call,Complaint,Resolved
21,26,06-07-2018,Chat,Feedback,Resolved
22,292,07-07-2018,Email,Inquiry,Resolved
23,288,10-07-2018,Call,Complaint,Resolved
24,149,11-07-2018,Chat,Feedback,Resolved
25,176,12-07-2018,Email,Inquiry,Resolved
26,289,13-07-2018,Call,Complaint,Resolved
27,209,04-08-2018,Chat,Feedback,Resolved
28,91,06-08-2018,Email,Inquiry,Resolved
29,91,06-08-2018,Call,Complaint,Resolved
30,249,07-08-2018,Chat,Feedback,Resolved
31,249,07-08-2018,Email,Inquiry,Resolved
32,27,11-08-2018,Call,Complaint,Resolved
33,93,12-08-2018,Chat,Feedback,Resolved
34,93,12-08-2018,Email,Inquiry,Resolved
35,15,09-09-2018,Call,Complaint,Resolved
36,85,04-10-2018,Chat,Feedback,Resolved
37,85,04-10-2018,Email,Inquiry,Resolved
38,41,05-10-2018,Call,Complaint,Resolved
39,286,08-10-2018,Chat,Feedback,Resolved
40,147,09-10-2018,Email,Inquiry,Resolved
41,147,09-10-2018,Call,Complaint,Resolved
42,64,03-11-2018,Chat,Feedback,Resolved
43,47,05-11-2018,Email,Inquiry,Resolved
44,56,06-11-2018,Call,Complaint,Resolved
45,56,06-11-2018,Chat,Feedback,Resolved
46,56,06-11-2018,Email,Inquiry,Resolved
47,56,06-11-2018,Call,Complaint,Resolved
48,214,07-11-2018,Chat,Feedback,Resolved
49,82,10-11-2018,Email,Inquiry,Resolved
50,143,12-11-2018,Call,Complaint,Resolved
51,260,04-12-2018,Email,Inquiry,Pending
52,260,04-12-2018,Call,Complaint,Resolved
53,260,04-12-2018,Chat,Feedback,Resolved
54,6,06-12-2018,Email,Inquiry,Escalated
55,299,11-12-2018,Call,Complaint,Resolved
56,98,05-02-2019,Email,Feedback,Resolved
57,11,07-02-2019,Chat,Inquiry,Pending
58,231,09-02-2019,Email,Feedback,Resolved
59,171,11-02-2019,Call,Complaint,Resolved
60,213,08-03-2019,Chat,Inquiry,Resolved
61,213,08-03-2019,Email,Feedback,Pending
62,255,10-03-2019,Call,Complaint,Resolved
63,90,12-03-2019,Chat,Feedback,Resolved
64,90,12-03-2019,Email,Inquiry,Resolved
65,90,12-03-2019,Call,Complaint,Pending
66,108,13-03-2019,Chat,Feedback,Resolved
67,62,14-03-2019,Email,Inquiry,Resolved
68,140,15-03-2019,Call,Complaint,Resolved
69,79,10-04-2019,Chat,Feedback,Pending
70,79,10-04-2019,Email,Inquiry,Resolved
71,79,10-04-2019,Call,Complaint,Pending
72,79,10-04-2019,Chat,Feedback,Resolved
73,218,11-04-2019,Email,Inquiry,Resolved
74,5,05-05-2019,Call,Complaint,Resolved
75,234,09-05-2019,Chat,Feedback,Resolved
76,135,10-05-2019,Email,Inquiry,Pending
77,135,10-05-2019,Call,Complaint,Resolved
78,12,11-05-2019,Chat,Feedback,Pending
79,246,13-05-2019,Email,Inquiry,Resolved
80,246,13-05-2019,Call,Complaint,Resolved
81,44,05-06-2019,Email,Inquiry,Pending
82,44,05-06-2019,Call,Complaint,Resolved
83,102,06-06-2019,Chat,Feedback,Resolved
84,102,06-06-2019,Email,Inquiry,Escalated
85,106,09-06-2019,Call,Complaint,Resolved
86,204,11-06-2019,Email,Feedback,Resolved
87,61,12-06-2019,Chat,Inquiry,Pending
88,111,04-07-2019,Email,Feedback,Resolved
89,111,04-07-2019,Call,Complaint,Resolved
90,145,05-07-2019,Chat,Inquiry,Resolved
91,145,05-07-2019,Email,Feedback,Pending
92,155,08-07-2019,Call,Complaint,Resolved
93,239,10-07-2019,Chat,Feedback,Resolved
94,239,10-07-2019,Email,Inquiry,Resolved
95,253,11-07-2019,Call,Complaint,Pending
96,253,11-07-2019,Chat,Feedback,Resolved
97,196,13-07-2019,Email,Inquiry,Resolved
98,196,13-07-2019,Call,Complaint,Resolved
99,118,03-08-2019,Chat,Feedback,Pending
100,118,03-08-2019,Email,Inquiry,Resolved
101,174,05-08-2019,Call,Complaint,Pending
102,156,06-08-2019,Chat,Feedback,Resolved
103,156,06-08-2019,Email,Inquiry,Resolved
104,144,08-08-2019,Call,Complaint,Resolved
105,185,09-08-2019,Chat,Feedback,Resolved
106,185,09-08-2019,Email,Inquiry,Pending
107,55,10-08-2019,Call,Complaint,Resolved
108,220,11-08-2019,Chat,Feedback,Pending
109,197,05-09-2019,Email,Inquiry,Resolved
110,101,06-09-2019,Call,Complaint,Resolved
111,181,07-09-2019,Email,Inquiry,Pending
112,181,07-09-2019,Call,Complaint,Resolved
113,119,09-09-2019,Chat,Feedback,Resolved
114,119,09-09-2019,Email,Inquiry,Escalated
115,119,09-09-2019,Call,Complaint,Resolved
116,119,09-09-2019,Email,Feedback,Resolved
117,154,11-09-2019,Chat,Inquiry,Pending
118,124,12-09-2019,Email,Feedback,Resolved
119,124,12-09-2019,Call,Complaint,Resolved
120,199,04-10-2019,Chat,Inquiry,Resolved
121,46,05-10-2019,Email,Feedback,Pending
122,251,06-10-2019,Call,Complaint,Resolved
123,67,08-10-2019,Chat,Feedback,Resolved
124,247,09-10-2019,Email,Inquiry,Resolved
125,23,10-10-2019,Call,Complaint,Pending
