InteractionID,CustomerID,DateofInteraction,InteractionType,PurposeofInteraction,OutcomeofInteraction,EmployeeID
1,85,04-01-2018,Email,Inquiry,Resolved,1004
2,41,05-01-2018,Call,Complaint,Escalated,1001
3,14,06-01-2018,Chat,Feedback,Resolved,1009
4,35,07-01-2018,Email,Inquiry,Resolved,1008
5,95,08-01-2018,Call,Complaint,Pending,1008
6,13,09-01-2018,Chat,Feedback,Resolved,1005
7,69,10-01-2018,Email,Inquiry,Resolved,1004
8,70,10-01-2018,Call,Complaint,Resolved,1018
9,52,12-01-2018,Chat,Feedback,Resolved,1003
10,5,14-01-2018,Email,Inquiry,Pending,1019
11,84,16-01-2018,Call,Complaint,Resolved,1014
12,50,08-02-2018,Chat,Feedback,Resolved,1002
13,57,08-02-2018,Email,Inquiry,Resolved,1001
14,90,08-02-2018,Call,Complaint,Resolved,1003
15,76,09-02-2018,Chat,Feedback,Pending,1007
16,51,10-02-2018,Email,Inquiry,Resolved,1008
17,56,10-02-2018,Call,Complaint,Resolved,1017
18,58,13-02-2018,Chat,Feedback,Resolved,1020
19,33,14-02-2018,Email,Inquiry,Resolved,1001
20,15,14-02-2018,Call,Complaint,Resolved,1018
21,34,07-03-2018,Chat,Feedback,Resolved,1007
22,54,08-03-2018,Email,Inquiry,Resolved,1018
23,93,09-03-2018,Call,Complaint,Resolved,1014
24,40,10-03-2018,Chat,Feedback,Resolved,1008
25,77,10-03-2018,Email,Inquiry,Resolved,1015
26,54,12-03-2018,Call,Complaint,Resolved,1019
27,34,12-03-2018,Chat,Feedback,Resolved,1009
28,32,13-03-2018,Email,Inquiry,Resolved,1001
29,96,16-03-2018,Call,Complaint,Resolved,1006
30,25,16-03-2018,Chat,Feedback,Resolved,1014
31,64,25-03-2018,Email,Inquiry,Resolved,1011
32,58,04-04-2018,Call,Complaint,Resolved,1009
33,67,08-04-2018,Chat,Feedback,Resolved,1005
34,15,09-04-2018,Email,Inquiry,Resolved,1007
35,30,09-04-2018,Call,Complaint,Resolved,1011
36,67,11-04-2018,Chat,Feedback,Resolved,1004
37,33,12-04-2018,Email,Inquiry,Resolved,1003
38,1,12-04-2018,Call,Complaint,Resolved,1013
39,9,04-05-2018,Chat,Feedback,Resolved,1004
40,64,05-05-2018,Email,Inquiry,Resolved,1012
41,71,05-05-2018,Call,Complaint,Resolved,1012
42,50,08-05-2018,Chat,Feedback,Resolved,1020
43,3,09-05-2018,Email,Inquiry,Resolved,1009
44,46,10-05-2018,Call,Complaint,Resolved,1002
45,55,11-05-2018,Chat,Feedback,Resolved,1015
46,83,14-05-2018,Email,Inquiry,Resolved,1018
47,30,06-06-2018,Call,Complaint,Resolved,1004
48,66,07-06-2018,Chat,Feedback,Resolved,1013
49,97,07-06-2018,Email,Inquiry,Resolved,1003
50,100,09-06-2018,Call,Complaint,Resolved,1018
51,17,10-06-2018,Email,Inquiry,Pending,1010
52,70,12-06-2018,Call,Complaint,Resolved,1020
53,93,06-07-2018,Chat,Feedback,Resolved,1012
54,14,08-07-2018,Email,Inquiry,Escalated,1019
55,66,08-07-2018,Call,Complaint,Resolved,1007
56,2,10-07-2018,Email,Feedback,Resolved,1003
57,70,11-07-2018,Chat,Inquiry,Pending,1002
58,93,12-07-2018,Email,Feedback,Resolved,1008
59,86,14-07-2018,Call,Complaint,Resolved,1010
60,65,15-07-2018,Chat,Inquiry,Resolved,1003
61,88,04-08-2018,Email,Feedback,Pending,1008
62,48,06-08-2018,Call,Complaint,Resolved,1004
63,94,06-08-2018,Chat,Feedback,Resolved,1013
64,26,09-08-2018,Email,Inquiry,Resolved,1009
65,54,09-08-2018,Call,Complaint,Pending,1015
66,6,10-08-2018,Chat,Feedback,Resolved,1012
67,26,12-08-2018,Email,Inquiry,Resolved,1006
68,86,15-08-2018,Call,Complaint,Resolved,1012
69,31,16-08-2018,Chat,Feedback,Pending,1012
70,48,03-09-2018,Email,Inquiry,Resolved,1007
71,73,06-09-2018,Call,Complaint,Pending,1009
72,12,06-09-2018,Chat,Feedback,Resolved,1003
73,92,08-09-2018,Email,Inquiry,Resolved,1020
74,6,09-09-2018,Call,Complaint,Resolved,1006
75,88,11-09-2018,Chat,Feedback,Resolved,1018
76,52,11-09-2018,Email,Inquiry,Pending,1008
77,93,13-09-2018,Call,Complaint,Resolved,1006
78,22,04-10-2018,Chat,Feedback,Pending,1015
79,46,08-10-2018,Email,Inquiry,Resolved,1013
80,23,10-10-2018,Call,Complaint,Resolved,1009
81,96,11-10-2018,Email,Inquiry,Pending,1018
82,58,15-10-2018,Call,Complaint,Resolved,1008
83,96,21-10-2018,Chat,Feedback,Resolved,1011
84,96,04-11-2018,Email,Inquiry,Escalated,1002
85,89,05-11-2018,Call,Complaint,Resolved,1008
86,42,06-11-2018,Email,Feedback,Resolved,1002
87,24,06-11-2018,Chat,Inquiry,Pending,1011
88,90,07-11-2018,Email,Feedback,Resolved,1013
89,49,09-11-2018,Call,Complaint,Resolved,1009
90,55,12-11-2018,Chat,Inquiry,Resolved,1003
91,23,13-11-2018,Email,Feedback,Pending,1007
92,96,15-11-2018,Call,Complaint,Resolved,1019
93,49,15-11-2018,Chat,Feedback,Resolved,1011
94,49,30-11-2018,Email,Inquiry,Resolved,1007
95,49,04-12-2018,Call,Complaint,Pending,1016
96,81,05-12-2018,Chat,Feedback,Resolved,1013
97,12,05-12-2018,Email,Inquiry,Resolved,1015
98,37,08-12-2018,Call,Complaint,Resolved,1005
99,83,10-12-2018,Chat,Feedback,Pending,1009
100,71,10-12-2018,Email,Inquiry,Resolved,1005
101,35,11-12-2018,Call,Complaint,Pending,1008
102,13,11-12-2018,Chat,Feedback,Resolved,1018
103,22,14-12-2018,Email,Inquiry,Resolved,1018
104,12,04-01-2019,Call,Complaint,Resolved,1009
105,50,18-01-2019,Chat,Feedback,Resolved,1019
106,57,06-02-2019,Email,Inquiry,Pending,1014
107,5,07-02-2019,Call,Complaint,Resolved,1019
108,18,09-02-2019,Chat,Feedback,Pending,1013
109,51,10-02-2019,Email,Inquiry,Resolved,1012
110,24,12-02-2019,Call,Complaint,Resolved,1008
111,85,07-03-2019,Email,Inquiry,Pending,1005
